# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Oct 12 22:07:48 BST 2020 [seed=1602536834444]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
17000	-137801.49725348823	-315.867112490297	-137485.63014099794	61.21947071860481	1958.7805292813953	480.3147164584764	48.55485048451382	0.0029059230648295566	0.0029059230648295566	-137485.63014099794	0.0	-316.0240187062685
18000	-137741.3549393998	-318.3276342022169	-137423.02730519758	62.20433376746083	1957.7956662325391	490.28818251401555	41.32057037006391	0.002832364208471543	0.00283236420847154	-137423.02730519758	0.0	-318.6760525376982
19000	-137725.10252858675	-320.55388806984007	-137404.5486405169	64.25094656257488	1955.7490534374251	505.09441260206114	53.76034184745098	0.0027356845059683978	0.002735684505968398	-137404.5486405169	0.0	-320.6782675960882
20000	-137680.04887694123	-321.14198058641756	-137358.9068963548	66.3546147113691	1953.645385288631	515.0393681329574	57.58417304918323	0.0026669366469084877	0.0026669366469084877	-137358.9068963548	0.0	-321.22832458614783
21000	-137658.72104752925	-324.69225379726083	-137334.028793732	66.2920851856735	1953.7079148143266	528.6502897205412	65.3120373179887	0.0025732422426555965	0.002573242242655597	-137334.028793732	0.0	-324.6968251079327
22000	-137648.50456573578	-323.4775324845655	-137325.02703325122	66.1452579276802	1953.8547420723198	527.3951184726625	55.09363261087441	0.00257085831659839	0.0025708583165983913	-137325.02703325122	0.0	-323.6560080055845
23000	-137609.05816555725	-326.7758296272178	-137282.28233593004	69.14372340199321	1950.8562765980068	551.7254230634951	50.24438760270823	0.0024905837357545556	0.0024905837357545547	-137282.28233593004	0.0	-327.0665918000594
24000	-137579.53044949926	-328.87710934399604	-137250.65334015526	73.38996811664401	1946.610031883356	572.385428509046	62.61544419636978	0.002369785621947833	0.002369785621947834	-137250.65334015526	0.0	-329.0086858689725
25000	-137555.66143697925	-332.80789086759773	-137222.85354611164	75.5903112979429	1944.409688702057	596.2721764444013	64.23170395883047	0.0023221382984241973	0.0023221382984241964	-137222.85354611164	0.0	-332.91638458361376
26000	-137543.64238767483	-331.2799789683764	-137212.36240870645	76.39058450909401	1943.609415490906	593.6707285309996	66.9053275319532	0.0022290439053659983	0.0022290439053659987	-137212.36240870645	0.0	-331.4272709900271
