# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Sep 24 19:29:32 BST 2020 [seed=1600972161957]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
56000	-482146.78917824716	-259.825533547371	-481886.9636446998	0.37306325475483865	12.511043708380166	4.526558073790165	1.0	1.0	-481886.9636446998	0.0	-281.3414225509862
57000	-482129.6711252292	-258.07190808465816	-481871.59921714454	0.37439713077803394	12.479750841902423	4.123840452299952	1.0	1.0	-481871.59921714454	0.0	-279.68097405406104
58000	-482129.0704384947	-257.67117117366126	-481871.399267321	0.3740039316956766	12.470047366545835	3.893085583284888	1.0	1.0	-481871.399267321	0.0	-279.33781996858437
59000	-482120.9368497032	-257.4624822502793	-481863.4743674529	0.36979099694341017	12.43450011204049	3.9333434200250084	1.0	1.0	-481863.4743674529	0.0	-279.11884329026606
60000	-482118.7413368043	-257.2818575831395	-481861.45947922114	0.37008107847330113	12.42135401714173	3.9756758407752755	1.0	1.0	-481861.45947922114	0.0	-278.92751367384903
61000	-482115.01251925796	-257.9460315730092	-481857.06648768496	0.37477613498956575	12.42239910043878	3.361362738654253	1.0	1.0	-481857.06648768496	0.0	-279.75953595147786
62000	-482107.1261220923	-257.18052053926414	-481849.945601553	0.37320677840189986	12.409952344448167	4.029763600052862	1.0	1.0	-481849.945601553	0.0	-278.8126636722627
63000	-482107.4677004272	-257.0928884140736	-481850.3748120132	0.3689410901197083	12.395381990874549	3.9899248497590776	1.0	1.0	-481850.3748120132	0.0	-278.73496686519616
64000	-482104.2161573744	-256.8289025856673	-481847.3872547887	0.36970628608680034	12.377281070540688	3.5938237930798946	1.0	1.0	-481847.3872547887	0.0	-278.5755366737881
65000	-482105.8880234116	-260.9005555096992	-481844.9874679019	0.37102082396402214	12.37047059955043	2.9277468139415195	1.0	1.0	-481844.9874679019	0.0	-282.8521732351874
66000	-482102.94137691025	-256.4987017281462	-481846.44267518213	0.366880865007141	12.35133646567939	3.959841185644843	1.0	1.0	-481846.44267518213	0.0	-278.14834865551927
67000	-482108.5604096077	-256.4819171972222	-481852.0784924105	0.3690910307847336	12.37340817570145	3.754378410779123	1.0	1.0	-481852.0784924105	0.0	-278.1848453093192
68000	-482101.1654281669	-256.125455407267	-481845.03997275967	0.37133595085495047	12.343568000119706	3.8294042827720554	1.0	1.0	-481845.03997275967	0.0	-277.8085970031183
69000	-482097.3173441833	-256.6335877495012	-481840.6837564338	0.37103164806181554	12.337681952599604	4.103186627985116	1.0	1.0	-481840.6837564338	0.0	-278.2476746985372
70000	-482092.1198903499	-257.6434632207857	-481834.4764271291	0.371214575592683	12.35107460940399	4.393916807629276	1.0	1.0	-481834.4764271291	0.0	-279.18909302737757
71000	-482091.77690339275	-256.5792364450501	-481835.1976669477	0.37223556085659915	12.334284599315867	4.086224217822734	1.0	1.0	-481835.1976669477	0.0	-278.1974659227096
72000	-482097.58211322594	-259.11096530083285	-481838.4711479251	0.3730199914038628	12.34297675022786	4.724719951025223	1.0	1.0	-481838.4711479251	0.0	-280.58400785846806
73000	-482090.1254448369	-256.60601937579384	-481833.5194254611	0.3695097307869732	12.34144394194102	3.588233528870328	1.0	1.0	-481833.5194254611	0.0	-278.3542101948311
74000	-482086.3980313931	-256.3928335928998	-481830.00519780023	0.3689325614757167	12.33297007631438	3.7548147913013556	1.0	1.0	-481830.00519780023	0.0	-278.09564547932223
75000	-482083.29591064894	-256.26056989965895	-481827.0353407493	0.36720267557955827	12.317755724935088	3.8424580189703508	1.0	1.0	-481827.0353407493	0.0	-277.940308475935
76000	-482084.9089394824	-256.13364513789054	-481828.7752943445	0.3746206535157785	12.331895054630332	3.895167052133683	1.0	1.0	-481828.7752943445	0.0	-277.79975941782146
77000	-482091.3876616854	-256.130178435053	-481835.25748325035	0.3653939618021317	12.290294634755094	4.017143412462004	1.0	1.0	-481835.25748325035	0.0	-277.7654582261286
78000	-482097.065358153	-255.61642639403885	-481841.448931759	0.3701156615182982	12.28731049293235	3.7192993057218025	1.0	1.0	-481841.448931759	0.0	-277.32874194937256
79000	-482087.99624398723	-255.52933781883314	-481832.4669061684	0.36652234895420066	12.263526790155387	3.5659031754869233	1.0	1.0	-481832.4669061684	0.0	-277.2837712990958
80000	-482076.1337019155	-255.586777086712	-481820.5469248288	0.3692871765483268	12.261151545841852	3.9268422660010067	1.0	1.0	-481820.5469248288	0.0	-277.244792325662
81000	-482079.06482347066	-256.11606279968004	-481822.94876067096	0.37073616251360964	12.252546590150498	4.197529200681748	1.0	1.0	-481822.94876067096	0.0	-277.7074175802506
82000	-482084.4988173875	-259.7816430238062	-481824.7171743637	0.36691761715962146	12.241695587764179	4.9756768971265055	1.0	1.0	-481824.7171743637	0.0	-281.2029324499271
83000	-482073.2105280843	-255.16222124650994	-481818.0483068378	0.36744101165245735	12.226644953275605	3.8484584410645524	1.0	1.0	-481818.0483068378	0.0	-276.8403994305121
84000	-482078.3408002198	-257.4488922933865	-481820.8919079264	0.3682503506052699	12.220237200429677	4.58733365975291	1.0	1.0	-481820.8919079264	0.0	-278.9514441873177
85000	-482080.1599927724	-256.05726960006535	-481824.10272317234	0.3684172303873107	12.245627117197367	4.191089113703849	1.0	1.0	-481824.10272317234	0.0	-277.6501598154362
86000	-482071.49949849275	-255.3314879776777	-481816.16801051504	0.3675590774165248	12.24107181600088	3.905282472915261	1.0	1.0	-481816.16801051504	0.0	-276.9950087079884
87000	-482074.93643371837	-255.54831005418222	-481819.3881236642	0.36663642294297927	12.244172228800554	3.997391112525459	1.0	1.0	-481819.3881236642	0.0	-277.18851897492027
88000	-482068.81822035374	-256.919869185171	-481811.89835116855	0.36950251339195445	12.261452746778012	4.399791800497958	1.0	1.0	-481811.89835116855	0.0	-278.46416281063506
89000	-482068.37002411555	-257.34565606736487	-481811.0243680482	0.3693837366067678	12.261988045207353	4.495005172554573	1.0	1.0	-481811.0243680482	0.0	-278.8685400959069
90000	-482065.46703199344	-255.8906776421006	-481809.57635435136	0.36905762674044634	12.26197702967241	3.464848681756286	1.0	1.0	-481809.57635435136	0.0	-277.6738595281012
91000	-482070.69482336106	-255.85291030326647	-481814.8419130578	0.36972125704316583	12.275933188887658	3.5698652156909216	1.0	1.0	-481814.8419130578	0.0	-277.6062333100962
92000	-482072.06584874453	-256.12197808963657	-481815.9438706549	0.3716026845621746	12.286567783418478	3.4734304577224364	1.0	1.0	-481815.9438706549	0.0	-277.9026862266946
93000	-482071.4987299334	-255.72636158847797	-481815.77236834494	0.36851848178684987	12.272226911614265	3.6864541338430454	1.0	1.0	-481815.77236834494	0.0	-277.44754737896176
94000	-482079.41636807146	-255.71821774959687	-481823.69815032184	0.3678909688713563	12.274573668201237	3.840436561096929	1.0	1.0	-481823.69815032184	0.0	-277.39848254887363
95000	-482083.0853170271	-257.58301491060615	-481825.5023021165	0.37156188842008403	12.302933919334647	3.1931555948541486	1.0	1.0	-481825.5023021165	0.0	-279.4478561152721
96000	-482089.2074756262	-255.91117070592367	-481833.2963049203	0.36799746739987027	12.295098999794588	3.7356943716785227	1.0	1.0	-481833.2963049203	0.0	-277.6190878423994
97000	-482080.09910362546	-255.71518248362662	-481824.38392114185	0.36979217668427405	12.291692445539386	3.706673924484061	1.0	1.0	-481824.38392114185	0.0	-277.43089837263005
98000	-482069.15232759423	-255.5584834751532	-481813.59384411905	0.3726000432516356	12.287750783050834	3.8178608876538065	1.0	1.0	-481813.59384411905	0.0	-277.2446440336345
99000	-482065.49840644136	-255.5645039641112	-481809.93390247726	0.36938578680025425	12.277002639066872	3.8909894430806036	1.0	1.0	-481809.93390247726	0.0	-277.2316913304761
100000	-482060.72788428504	-255.57285789932084	-481805.15502638574	0.3704693076149299	12.28677631659442	3.674079109904372	1.0	1.0	-481805.15502638574	0.0	-277.29740622759607
101000	-482065.04061716126	-255.9365502711509	-481809.1040668901	0.3666007813581569	12.301563862161572	3.533129256441732	1.0	1.0	-481809.1040668901	0.0	-277.70021716517994
102000	-482057.84629883786	-255.3812213043771	-481802.4650775335	0.3696142551903995	12.29306701387581	3.700782183019265	1.0	1.0	-481802.4650775335	0.0	-277.098527953453
103000	-482049.3753844274	-255.1910486428819	-481794.1843357845	0.36751166954163356	12.264382039307675	3.8510039061991392	1.0	1.0	-481794.1843357845	0.0	-276.868565620916
104000	-482046.66285620886	-255.3540324304591	-481791.3088237784	0.36707476807488787	12.243417216090991	3.621035482642784	1.0	1.0	-481791.3088237784	0.0	-277.09312324779563
105000	-482043.5500472889	-255.80465173451586	-481787.74539555435	0.3682546528119065	12.22585993167666	4.180719921498639	1.0	1.0	-481787.74539555435	0.0	-277.4000191199856
106000	-482043.1307392411	-256.8975734795815	-481786.2331657615	0.36314320269673833	12.196853052382718	4.489387005516365	1.0	1.0	-481786.2331657615	0.0	-278.42170815873163
107000	-482040.207464957	-254.83922420580396	-481785.3682407512	0.3663470567926238	12.207278204230004	3.8678386347191798	1.0	1.0	-481785.3682407512	0.0	-276.5123791942979
108000	-482034.6404844693	-254.6018616180238	-481780.03862285125	0.3625858837005644	12.170525878314015	3.762473905067465	1.0	1.0	-481780.03862285125	0.0	-276.3026357707032
109000	-482034.061935738	-255.31328948047764	-481778.74864625756	0.36400152760431886	12.16536155997549	3.2647522216100575	1.0	1.0	-481778.74864625756	0.0	-277.1559564570756
110000	-482020.6173952747	-254.3266412765973	-481766.2907539981	0.36416182300024286	12.176677099180989	3.7393827839480642	1.0	1.0	-481766.2907539981	0.0	-276.03357155701997
111000	-482029.6977931688	-256.46888756788155	-481773.2289056009	0.36768253177792226	12.17716640073052	4.498497389825813	1.0	1.0	-481773.2289056009	0.0	-277.9909949874389
112000	-482029.8068560944	-254.3785665275345	-481775.4282895669	0.36663420406660774	12.158767023256203	3.5216287052609	1.0000000000523461	1.0000000000523475	-481775.4282895669	0.0	-276.1454937917792
113000	-482035.74025805003	-254.4932754945765	-481781.2469825555	0.3646018133483794	12.155010020530638	3.477928888726828	1.0000000000883145	1.0000000000883142	-481781.2469825555	0.0	-276.272689372078
114000	-482052.98683957726	-256.2070435719185	-481796.77979600534	0.3612236504431777	12.108316476747568	4.483502393769443	1.0000000000042373	1.0000000000042355	-481796.77979600534	0.0	-277.7324898938024
115000	-482049.42423666094	-254.3646240409339	-481795.05961262	0.3605538019265374	12.100484408311514	3.480245619144353	1.000000000030657	1.0000000000306566	-481795.05961262	0.0	-276.14337201662437
116000	-482039.90878557955	-254.04880573956083	-481785.85997984	0.35922517667279624	12.090945523802198	3.790300064517618	1.0000000000858458	1.0000000000858449	-481785.85997984	0.0	-275.74221139810464
117000	-482038.3520167851	-253.83441123776635	-481784.5176055474	0.3622122888607123	12.078760483533312	3.896561325361943	1.0000000000120295	1.0000000000120304	-481784.5176055474	0.0	-275.50016763221265
