# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 12:45:56 BST 2021 [seed=1620301547338]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(node1)	tmrca(node10)	tmrca(node2)	tmrca(node3)	tmrca(node4)	tmrca(node5)	tmrca(node6)	tmrca(node7)	tmrca(node8)	tmrca(node9)	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
100000	-36354.858268933516	-154.95181344353372	-36199.90645548998	49061.62792665312	436945.8967019024	10376.852707161175	42239.92791681701	15277.286508992418	20560.947777405425	16802.66441281367	25737.206596930242	29026.08847071733	41766.53788640069	46992.09693888239	32408.302278265586	4.339454051568354E-5	6.6243930748994665E-6	6.624393074899465E-6	-36199.90645548998	0.0	-149.54836636901524
110000	-36354.31965220427	-155.2658782219459	-36199.05377398233	49549.17410372419	441732.537453259	9446.99309025679	44419.845922613786	15078.137116667069	19934.163665208154	18158.06437721374	26065.089531693557	29775.676950360783	41211.97004279736	47693.82584547706	33709.77160684552	5.100310219724628E-5	6.418891547600941E-6	6.418891547600939E-6	-36199.05377398233	0.0	-151.0168430475848
120000	-36357.576394781085	-154.8236097457368	-36202.75278503535	51973.246497601605	453248.2326594298	9191.698094236035	44355.25444713615	14851.44286969628	19940.540343062778	17110.522710698548	25062.42188198402	27788.473451035727	43368.47698623247	50347.91161690087	36082.86372536378	4.051240349085227E-5	6.317412349573256E-6	6.3174123495732555E-6	-36202.75278503535	0.0	-149.84290611519404
130000	-36355.00907381365	-155.54780840935	-36199.4612654043	53391.07929648344	477609.8225694597	10756.69377363568	46733.16167077724	17417.05467386181	22399.345192750276	19100.939245506153	27542.744401688018	31962.327459961478	45353.66259232511	51691.94598377367	36126.92102534539	3.384916377046733E-5	6.078935731456134E-6	6.078935731456134E-6	-36199.4612654043	0.0	-149.98344452004918
140000	-36355.95001894733	-156.33817617317973	-36199.61184277415	56779.79654419515	492616.6947271033	9871.032824878723	49173.861588611966	16812.61308100485	20976.596453987673	17863.683216053934	26643.422783907965	30514.809631193377	46815.46995469569	55527.56207893895	39202.45434151959	3.5565768814237393E-5	5.810038249803392E-6	5.810038249803392E-6	-36199.61184277415	0.0	-150.69394160580086
150000	-36355.15115377304	-154.72341778663036	-36200.427735986406	49211.759787932395	430977.9123401188	9014.408854529582	40668.40558506831	14230.381392550853	19335.56946242135	17736.519237728764	24377.891470186572	28333.035452552173	40864.758943850684	47582.612551260274	31901.891267053732	4.8512752412510035E-5	6.523411914848199E-6	6.523411914848198E-6	-36200.427735986406	0.0	-150.04581491376422
160000	-36354.578447188665	-155.9568922388525	-36198.621554949816	48917.38008161836	428283.01692555036	9109.14624783598	42344.152672647535	13443.775990273865	19524.112792868065	17527.568896385998	25303.55673826513	27869.41476009252	40768.37246724829	46801.920533952674	32196.435949101648	5.66181345766074E-5	6.683110800015467E-6	6.683110800015467E-6	-36198.621554949816	0.0	-151.37794141666106
170000	-36358.51936298562	-155.92726627855552	-36202.59209670706	54353.311346446004	469960.2637146081	9536.059079198512	46977.93625649021	15104.757624549587	20581.601476842465	16855.76571271637	25784.752740109194	29601.028320879737	43109.73177976285	51706.13694128953	38490.28061751275	4.709326255545784E-5	6.174590235764495E-6	6.174590235764495E-6	-36202.59209670706	0.0	-151.65591005491675
180000	-36353.97426574417	-154.86390041213699	-36199.11036533203	47774.98707373885	422731.35193602345	9458.813470562969	42019.674925268926	14441.892811697282	19211.654135916117	16228.011234804435	24587.690037772532	27195.331852330535	40382.43296179033	45382.97058786615	33399.95063762541	4.942848315014367E-5	6.676455789074771E-6	6.676455789074772E-6	-36199.11036533203	0.0	-149.7897578394689
190000	-36353.26153343739	-154.76683264107166	-36198.49470079632	47618.520531927556	417763.26066258526	8331.544050379669	41368.42924162753	13774.250846932187	18881.203476150335	16794.038062863496	23609.49569060969	27270.634839737453	39004.598000367594	46413.82304860744	32493.71165386075	4.210850541281244E-5	6.8034403961992835E-6	6.803440396199283E-6	-36198.49470079632	0.0	-148.56977703823512
200000	-36362.09108466682	-155.8533895987335	-36206.237695068085	54232.245497891454	477967.37773911486	10519.316313057228	44067.34904709721	18299.738584644896	22621.317069116256	18189.070440345055	27201.440906809297	31248.285102742175	45788.64029611836	54043.63932659659	34693.32362485673	3.0512991326646265E-5	5.911830371491206E-6	5.911830371491208E-6	-36206.237695068085	0.0	-149.74986871012342
210000	-36357.9621039411	-155.29932470769725	-36202.662779233404	52015.053389195156	460510.3771616932	9652.849032470423	47948.04059920872	16497.1367055342	20636.190288396574	18247.110293230624	26298.440469930785	29697.31143981678	42937.68545322709	49367.4218791221	34131.73011973517	2.958158984780195E-5	6.1278296596830975E-6	6.127829659683098E-6	-36202.662779233404	0.0	-149.19128770941876
220000	-36356.76360907406	-160.5571323121861	-36196.20647676188	62290.1018286067	548442.9315215386	11833.632983151021	55493.14813018215	19215.648765233167	24584.39068022593	21013.876161198725	30554.69274983467	34420.31038259523	51957.0081870195	61237.16112004957	40802.28064426105	3.5084603840482334E-5	5.2072120740893445E-6	5.207212074089344E-6	-36196.20647676188	0.0	-152.59262907123238
230000	-36352.035875207985	-155.39779181878518	-36196.638083389196	53248.317279853036	467125.51305246167	9607.0775147497	46402.8121568598	15215.171686909125	21946.714102990714	17933.966726388797	26599.498762580683	30130.642371521142	43610.52209918385	51802.3185489334	35075.93849107355	4.288259191222511E-5	6.133091478647689E-6	6.133091478647688E-6	-36196.638083389196	0.0	-150.77313251310323
240000	-36353.431155895545	-155.79472597347996	-36197.636429922066	51284.22459671272	452028.39543518843	8978.068016549598	44353.367967625316	14966.242006296658	19261.092890466865	17504.61603067557	25758.637842200053	28547.918987136396	43216.771381645216	50962.424474899584	34848.0178675241	5.146359856510026E-5	6.390032837737158E-6	6.390032837737155E-6	-36197.636429922066	0.0	-151.6332735971867
250000	-36353.74921922351	-154.79972730565726	-36198.94949191785	49890.844432066784	438976.291412854	9986.515037182344	43010.29985278241	15315.779785975737	19982.457346119736	17551.88734908136	24034.82717691411	27793.16676272166	41210.777311594364	48125.93708783747	34892.17510370304	3.4700485812839044E-5	6.552375718608955E-6	6.552375718608954E-6	-36198.94949191785	0.0	-148.72652989195745
260000	-36352.51940458422	-155.02280856004376	-36197.496596024175	52861.92305928627	463373.4967009423	9315.91388411091	44948.8757834945	15769.266574528929	21717.789485943093	17174.890129651518	27510.052642577968	30478.678327948142	43775.359950523336	51434.5337389872	35239.74122360962	3.774048575675711E-5	6.154434173149792E-6	6.154434173149793E-6	-36197.496596024175	0.0	-149.89004376289068
270000	-36353.98167605847	-155.32394332392303	-36198.65773273455	53614.46896235096	465853.09778922197	9883.51473626886	47138.47256478076	15602.14302183086	20883.210380580836	18190.741084853933	26243.731509343077	29804.72185347376	44124.923774649345	51037.31571985916	34249.58424334358	3.12030751863658E-5	6.024237638545856E-6	6.024237638545857E-6	-36198.65773273455	0.0	-149.410969992543
280000	-36356.33234504821	-156.13037510620532	-36200.201969942005	49067.463941900416	437849.07071388955	10043.73437195944	42913.09449746633	15314.82925705873	20675.74148882267	16869.355274546193	26491.1672774522	28633.496351618967	41377.903014524956	46732.895578483054	34186.08345328798	5.745149718915746E-5	6.5251927239933255E-6	6.525192723993326E-6	-36200.201969942005	0.0	-152.0944880679728
290000	-36356.04768682993	-155.2260737774413	-36200.82161305249	47316.02590711906	416573.0411757071	8535.245886993505	38827.275974902266	13308.077409562979	18762.337782956307	16862.584949889824	23626.608998390177	27994.733404714672	40162.82009432952	46565.12512714685	31448.43838029868	3.365400321510927E-5	6.854087171022688E-6	6.854087171022686E-6	-36200.82161305249	0.0	-147.9112715218403
300000	-36352.99836605977	-155.26108839058432	-36197.737277669185	50749.45712951764	444594.7793709186	8988.76046221374	43397.16197307037	13911.104797222702	18930.894000601536	16508.475422656233	24931.733691559093	28660.60082185587	42955.15571447975	49965.76876452296	34285.51707300414	3.060898273385984E-5	6.533184885136206E-6	6.533184885136205E-6	-36197.737277669185	0.0	-148.73341542830113
