# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jul 06 21:02:56 BST 2021 [seed=1625601759709]
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
1200000	-126744.21585280742	-1086.148406328831	-125658.06744647858	426.2029222584913	1593.7970777415087	3197.3376389356026	353.19915131480485	5.767139721626271	0.29628014396144137	0.1932122850576939	0.17123228333159257	0.33927528764927256	0.2389227772394337	5.539140088837758E-4	3.9837942350494214E-4	5.942637787657656E-4	0.643042951044551	-0.034254148292559995	-125658.06744647858	-632.7794785592257	-455.8217053765948
1300000	-126752.83773293484	-1073.9135905845533	-125678.9241423503	344.0623855316115	1675.9376144683886	2712.828041070107	319.5830108265119	5.916457924414442	0.2896169189832653	0.19414787718711218	0.17110134628320614	0.3451338575464168	0.24753120778036902	6.218452155929076E-4	4.988311947508663E-4	7.20473065527184E-4	0.6560939056315604	0.06470356616850362	-125678.9241423503	-632.7794785592257	-443.3739896374842
1400000	-126747.3236710967	-1076.7088964504753	-125670.61477464622	377.96394365900096	1642.036056340999	2818.697504410718	404.86737477005397	5.779559168608166	0.28819780636239767	0.1950291954029603	0.17141976598544106	0.3453532322492009	0.24300671410838587	6.55470044662469E-4	3.502914365943169E-4	6.890068094339605E-4	0.5485748099859836	-0.0609603332371279	-125670.61477464622	-632.7794785592257	-445.67902566036105
1500000	-126741.33452268863	-1084.544091813073	-125656.79043087555	340.17026910758665	1679.8297308924134	3059.7286998798745	408.1224867551682	5.888938023972483	0.2932254113711777	0.19324989336705004	0.17146425006839766	0.34206044519337464	0.23851141385095254	5.917342545413793E-4	4.133741000254457E-4	6.506715626276934E-4	0.667646585115104	-0.10767325870567777	-125656.79043087555	-632.7794785592257	-453.9562118524683
1600000	-126744.77296096226	-1087.3511244379852	-125657.42183652427	396.141625495521	1623.858374504479	3155.187025068912	361.14248399111233	5.770471894170169	0.2926124381773878	0.19244043509028652	0.17260271292959187	0.3423444138027338	0.23437206282085898	5.454736216289005E-4	2.688113478894336E-4	6.256644993032549E-4	0.4807826118024268	-0.05215622897988536	-125657.42183652427	-632.7794785592257	-457.01055889235977
1700000	-126728.32155760951	-1080.0069032023707	-125648.31465440714	377.0060157836539	1642.9939842163462	2942.931570883752	323.8031203261683	5.885045047018658	0.2910066261687413	0.19356426129648427	0.17156286918838762	0.3438662433463874	0.24297346181056095	6.209053598488889E-4	2.9783675076539684E-4	6.62286914460775E-4	0.5109299604825825	0.10665754426274915	-125648.31465440714	-632.7794785592257	-449.4785746469142
1800000	-126757.6677535264	-1081.8982366291998	-125675.7695168972	505.54340656697957	1514.4565934330203	3284.399575953929	418.21869941694524	5.940451123578604	0.293597271571074	0.1934616280248483	0.17097273846119	0.3419683619428884	0.2346500742832467	5.254635194463555E-4	2.469087495593975E-4	5.892958137660195E-4	0.48125932953194167	0.05849192825860929	-125675.7695168972	-632.7794785592257	-451.3380842365316
1900000	-126727.13278614629	-1077.0763686627954	-125650.0564174835	450.21771164508647	1569.7822883549136	3048.3145857282034	336.56144116022284	5.90708651358548	0.29618553914547385	0.19352161771374118	0.17184533060759388	0.33844751253319205	0.24220598299091703	5.709063668428541E-4	3.060508974330625E-4	6.428184925597859E-4	0.5414830848094098	0.00859487906117289	-125650.0564174835	-632.7794785592257	-446.7348392321126
2000000	-126735.26268208314	-1076.9252910535834	-125658.33739102955	446.63941388439486	1573.3605861156052	3026.520598292094	379.99599007410666	5.717527359557757	0.289177724226314	0.19156202292313979	0.17351100059934949	0.3457492522511977	0.23023915891862284	6.150751999677607E-4	3.565016464979317E-4	6.468756216664151E-4	0.5338122632777065	-0.11098261011218717	-125658.33739102955	-632.7794785592257	-446.3447562931534
2100000	-126740.55193576461	-1083.8641896703052	-125656.6877460943	404.6456304119666	1615.3543695880335	3127.861581120285	438.2316672513249	5.790274091548176	0.2923686566763396	0.19240831164570096	0.170074682052688	0.34514834962527247	0.24360745295707084	5.588589236201569E-4	3.1732212592497025E-4	6.256081537211279E-4	0.5237779896954093	0.07014138203328021	-125656.6877460943	-632.7794785592257	-453.303553142572
2200000	-126732.87295342918	-1082.1786346752215	-125650.69431875396	414.73473734529813	1605.265262654702	3062.9224142335006	490.6414887708617	5.731288492060656	0.29156595667287183	0.19503607955908558	0.172277429239071	0.3411205345289727	0.23787744196381827	5.513893777582539E-4	3.2386241828158874E-4	6.296134284801325E-4	0.5627990409614199	-0.06344256777443616	-125650.69431875396	-632.7794785592257	-451.5354610973193
2300000	-126729.73956140266	-1088.859969694075	-125640.87959170858	489.91555013493587	1530.084449865064	3406.272796463178	372.56388850254103	5.804440960278866	0.29410687774946176	0.19723477343713933	0.1722054644142286	0.33645288439917137	0.24351137981224047	4.726751087010627E-4	3.1378028080078437E-4	5.730585740289626E-4	0.612894975284857	-0.0545389607351927	-125640.87959170858	-632.7794785592257	-458.1632139599895
2400000	-126741.80888776267	-1085.373327808158	-125656.43555995451	439.0699114449889	1580.930088555011	3299.030552058849	388.5450353860219	5.894026848956489	0.2905109374087091	0.19488917632985522	0.17332380482420892	0.341276081437228	0.24403342847480025	5.633882849999557E-4	3.158522413751545E-4	5.999304088973098E-4	0.5802427460220878	-0.055635643438008815	-125656.43555995451	-632.7794785592257	-454.90068837339004
2500000	-126736.68127390667	-1075.9798949185415	-125660.70137898813	457.1737225823337	1562.8262774176662	3108.7295721846813	338.0879535089361	5.722652243446175	0.29151412063627924	0.19297060876067626	0.17477333345359453	0.3407419371494513	0.24298355751810627	6.021462597056068E-4	3.116566106803861E-4	6.322844911093837E-4	0.47162178137690225	0.037815890898920464	-125660.70137898813	-632.7794785592257	-445.5653154308028
2600000	-126730.6172606988	-1083.4698261572244	-125647.14743454158	509.6432184645089	1510.356781535491	3449.165419023819	353.9285609804072	5.912507594415585	0.2914410468503155	0.19504047844538133	0.17120420008647028	0.3423142746178342	0.23994495963019022	5.180701374353314E-4	2.881222800897024E-4	5.735413593729442E-4	0.5476746400622062	-0.050409921196851525	-125647.14743454158	-632.7794785592257	-453.0520629623753
2700000	-126748.42063564301	-1095.5193226923839	-125652.90131295062	598.1270126272717	1421.8729873727284	3907.540596423795	426.8192048707225	5.545833091029562	0.29153957829934873	0.19625923919464333	0.16802272859430392	0.3441784539117055	0.24447418042372895	4.5520092654871986E-4	2.611870784000685E-4	4.890566598634035E-4	0.5164920355192009	-0.02033418687261304	-125652.90131295062	-632.7794785592257	-464.6015008604358
2800000	-126754.50306090042	-1095.0635240827316	-125659.43953681769	641.3962117485694	1378.6037882514306	4124.902378759089	509.641438362634	5.572543818082064	0.2943089646656857	0.1936159406479368	0.17454350933233478	0.3375315853540441	0.24438090326208461	4.678482222540223E-4	3.2063082903277865E-4	4.723831874282558E-4	0.5867405612713131	-0.02557442897358066	-125659.43953681769	-632.7794785592257	-464.0732562049535
