# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 05 15:49:24 BST 2021 [seed=1620226059811]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
370000	-137075.04437229538	-450.6544130905173	-136624.38995920485	308.68311480934494	2737.008578796531	427.35935981194166	4.7813825273053444E-4	4.7813825273053487E-4	-136624.38995920485	0.0	-452.6299841419038
380000	-137084.15497691213	-457.809510667667	-136626.34546624447	344.9133213567436	3019.900078676914	495.51286980602686	4.245825310388128E-4	4.2458253103881254E-4	-136626.34546624447	0.0	-459.10884210360183
390000	-137051.56157245336	-436.36566229169557	-136615.19591016165	247.43586652147212	2203.759958137094	370.54535523446646	5.86110490151265E-4	5.861104901512649E-4	-136615.19591016165	0.0	-438.67688990198764
400000	-137041.83271242905	-427.43092902675033	-136614.4017834023	209.5076526827943	1865.1801271871536	210.5897592045561	6.960841448042503E-4	6.960841448042509E-4	-136614.4017834023	0.0	-429.3053900256038
410000	-137065.80422951895	-439.55818745008395	-136626.24604206887	249.67988205648143	2250.780613289164	347.88378939019816	5.852028737789911E-4	5.852028737789911E-4	-136626.24604206887	0.0	-441.9357586872698
420000	-137051.43730478792	-434.0586061174347	-136617.37869867048	238.02043130845553	2089.2367242826913	379.8619160324246	6.216513580627447E-4	6.216513580627446E-4	-136617.37869867048	0.0	-436.15350429277413
430000	-137051.88654368182	-425.75401261525803	-136626.13253106657	210.54996933443832	1878.4099188310497	264.11919999328853	6.838758272347356E-4	6.838758272347353E-4	-136626.13253106657	0.0	-427.5728770817702
440000	-137091.056306362	-479.8183766196286	-136611.23792974238	464.8939252905464	4133.385405612168	551.4321744777636	3.1587113945615345E-4	3.1587113945615345E-4	-136611.23792974238	0.0	-479.05644344401287
450000	-137053.64094605244	-437.43214169359567	-136616.20880435884	252.00072798356956	2253.5668020492717	351.67120502167575	5.805570818502066E-4	5.805570818502068E-4	-136616.20880435884	0.0	-439.8141601073735
460000	-137060.47846299893	-433.752148604441	-136626.7263143945	246.0342703408614	2150.4848240113506	319.63256261623076	6.027597127774024E-4	6.027597127774024E-4	-136626.7263143945	0.0	-436.13719898436005
470000	-137079.4395015188	-462.3151088039676	-136617.12439271482	365.24806064619526	3211.055736479146	430.79436600242894	4.0124405291810597E-4	4.0124405291810597E-4	-136617.12439271482	0.0	-463.4344631859196
480000	-137057.3673621291	-433.1427056312893	-136624.2246564978	230.29125145320344	2069.9320623381923	321.2004027999253	6.345802001532474E-4	6.345802001532473E-4	-136624.2246564978	0.0	-435.3043517210437
490000	-137076.03750148194	-452.4632904348466	-136623.5742110471	316.046090531948	2803.5830159599604	437.9980396706582	4.7381701051432755E-4	4.7381701051432744E-4	-136623.5742110471	0.0	-454.38228544454074
500000	-137049.4765818058	-433.86753505143076	-136615.60904675437	235.14791394968523	2109.0332886809433	300.7637137456098	6.171314305097966E-4	6.171314305097967E-4	-136615.60904675437	0.0	-436.2272804897833
510000	-137045.99496859364	-429.2238110579382	-136616.7711575357	225.5588675833432	1997.6765719364478	286.404078150093	6.499668901452741E-4	6.49966890145274E-4	-136616.7711575357	0.0	-431.35814026610785
520000	-137062.27251823287	-437.0606294261225	-136625.21188880675	248.2222270207924	2180.147006953187	255.23459966433512	5.969039222453416E-4	5.969039222453417E-4	-136625.21188880675	0.0	-439.69984924789145
530000	-137050.18147360435	-426.8751827040107	-136623.30629090033	212.61881301144484	1882.4809402035103	283.8924923785684	6.907487126064204E-4	6.907487126064204E-4	-136623.30629090033	0.0	-428.5274789192329
540000	-137050.0399812394	-426.486985620423	-136623.55299561896	208.36615279518514	1851.2192908063112	314.13476217996	7.016346930304036E-4	7.016346930304037E-4	-136623.55299561896	0.0	-427.8789113799189
550000	-137107.56155722635	-481.7473854545292	-136625.8141717718	471.9563573731654	4184.327771809717	574.3789128813735	3.1482941286852076E-4	3.1482941286852076E-4	-136625.8141717718	0.0	-480.9202377352098
560000	-137075.13196780547	-453.5515615656982	-136621.58040623978	325.7946609007001	2871.8481519448355	372.7800704704863	4.568860529723814E-4	4.568860529723812E-4	-136621.58040623978	0.0	-455.48846442557254
570000	-137060.4489565947	-439.7084642910781	-136620.7404923036	260.5979375385869	2300.6314033251633	392.55975555562213	5.66486898821954E-4	5.66486898821954E-4	-136620.7404923036	0.0	-442.0135864691229
580000	-137055.00987547435	-428.0896690328133	-136626.92020644154	222.09671982174592	1969.0674760306583	260.019179551517	6.602873908702684E-4	6.602873908702688E-4	-136626.92020644154	0.0	-430.21215004653556
