# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Jul 07 01:17:57 BST 2021 [seed=1625617058181]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
50000	-396986.3998822512	-1103.9253381343437	-395882.4745441169	683.9908170972958	1334.0091829027042	16099.033785058262	3652.602427762799	6.267815456302912	0.20732477698237425	0.3453686404389628	0.23208110154939632	0.21522548102926656	0.4257916340089672	0.0011410806911729195	0.0011410806911729208	-395882.4745441169	0.0	-1100.6937706932542
55000	-396993.48415286624	-1123.6594959485174	-395869.8246569177	785.8181180116168	1232.1818819883833	18455.314561471147	3535.9016887818866	6.234763817611965	0.20693942710678853	0.3461639495982677	0.23222498188674248	0.21467164140820116	0.42465529704922733	9.896207907871138E-4	9.896207907871147E-4	-395869.8246569177	0.0	-1121.2862029486819
60000	-396957.1687777387	-1119.8799077260712	-395837.2888700126	776.2731705819774	1241.7268294180226	18348.05902038568	4414.587862681612	6.317957778546242	0.20607277411878325	0.34586066947305205	0.23435173283817023	0.21371482356999438	0.42203718378840116	9.974673691976314E-4	9.974673691976305E-4	-395837.2888700126	0.0	-1117.2413926001327
65000	-396963.4467166589	-1120.1662503977498	-395843.28046626115	775.095900790133	1242.9040992098671	18347.88632674515	4416.208006044603	6.317682463447443	0.2068123063916102	0.3456317421727508	0.23316337254745753	0.21439257888818145	0.42203718378840116	9.971819953094765E-4	9.971819953094763E-4	-395843.28046626115	0.0	-1117.5284865058666
70000	-396965.4785942885	-1125.8839178356714	-395839.59467645286	829.5497501411628	1188.4502498588372	19320.157763188505	4902.686517428129	6.251559898158786	0.20654747244369853	0.34685588557905667	0.23296306707149833	0.21363357490574633	0.4307248077467494	9.569498690953274E-4	9.56949869095328E-4	-395839.59467645286	0.0	-1123.26824499289
75000	-396968.0419139163	-1135.3325638038962	-395832.7093501124	878.6926241443277	1139.3073758556723	20696.606302746404	4806.141221903148	6.251559898158786	0.20882007390605745	0.34505082619524413	0.2324955249929519	0.21363357490574633	0.4261402752337965	8.864370306717655E-4	8.864370306717655E-4	-395832.7093501124	0.0	-1132.8723315446857
80000	-396967.7463458346	-1136.858748887804	-395830.8875969468	885.8030327324303	1132.1969672675696	21007.08711990147	5021.631914871067	6.352194529356712	0.20739213406699947	0.3461206159111569	0.23355368627144862	0.21293356375039482	0.42427388731919863	8.733346719585835E-4	8.73334671958584E-4	-395830.8875969468	0.0	-1134.343615559339
85000	-396969.3157776794	-1133.0764471469963	-395836.2393305324	867.5072425507138	1150.4927574492863	20468.603337557117	4898.265146432586	6.264060670949842	0.20894298915421697	0.3451534779196661	0.23123875531562435	0.2146647776104924	0.42956457883995297	8.996739958782344E-4	8.996739958782344E-4	-395836.2393305324	0.0	-1130.57306793866
90000	-396969.95525538886	-1133.4353791689605	-395836.5198762199	884.0884828609877	1133.9115171390122	20515.0319401081	4565.989911383071	6.332900138462326	0.20712182329843504	0.34663779656730304	0.23252001072821152	0.21372036940605021	0.42956457883995297	9.009088052805633E-4	9.00908805280563E-4	-395836.5198762199	0.0	-1130.98388573091
95000	-396993.0066608105	-1145.6217277465544	-395847.38493306394	944.527719068119	1073.472280931881	22559.487733634964	5249.645959941053	6.309641864629621	0.20926203156068002	0.3448199503835964	0.23456408840267146	0.21135392965305191	0.42956457883995297	8.048240536834114E-4	8.048240536834122E-4	-395847.38493306394	0.0	-1143.0432611411818
100000	-396982.94632990507	-1131.2427081454503	-395851.7036217596	846.6325737767861	1171.367426223214	20095.627975256215	4635.753295714476	6.309641864629621	0.2079605915578222	0.344802543480699	0.23347829536971776	0.21375856959176087	0.4286380896029461	9.07288358279686E-4	9.072883582796852E-4	-395851.7036217596	0.0	-1128.7749428241602
105000	-396963.8047941164	-1128.1964859437157	-395835.60830817267	834.2503912173603	1183.7496087826398	19416.271933123673	5454.161245292842	6.315771174237301	0.2068557223231455	0.3448696834106037	0.2338864462368261	0.21438814802942455	0.429538632516922	9.37368010038483E-4	9.373680100384819E-4	-395835.60830817267	0.0	-1125.508454709128
110000	-396961.4068994704	-1136.709204288891	-395824.69769518153	894.6466298670097	1123.3533701329902	21057.838933190367	5183.219893498673	6.356781732829964	0.20872710441632045	0.3461726273756116	0.23379919289820772	0.2113010753098601	0.4241395268860854	8.724211672740455E-4	8.724211672740461E-4	-395824.69769518153	0.0	-1134.1620764562658
