# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 18:06:36 BST 2021 [seed=1620320788356]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
100000	-482406.36148638214	-1073.6119570809335	-481332.7495293012	298.83373897695566	298.83373897695566	9874.562229507268	2750.8544913514825	0.001225299286357753	0.0012252992863577528	-481332.7495293012	0.0	-1073.2825441989937
110000	-482406.4909962236	-1070.2667017067492	-481336.22429451684	289.15622962418513	289.15622962418513	9589.653183179897	2673.2222861113005	0.001256903577522961	0.001256903577522962	-481336.22429451684	0.0	-1069.9334412783057
120000	-482434.60005887813	-1102.2836401783793	-481332.31641869975	375.65962406071526	375.65962406071526	12498.919611288928	3406.8895387644275	9.684291984999365E-4	9.684291984999367E-4	-481332.31641869975	0.0	-1101.0780268899612
130000	-482429.4319086053	-1087.5306228634388	-481341.9012857418	336.5418484780893	336.5418484780893	11142.58966120757	3336.5404914024193	0.0010834165507620731	0.0010834165507620733	-481341.9012857418	0.0	-1086.846291495536
140000	-482408.51070459484	-1064.1195566129932	-481344.39114798186	277.687100177716	277.687100177716	9106.134863277011	2469.9764191635954	0.00133140464783106	0.0013314046478310614	-481344.39114798186	0.0	-1063.6900076201305
150000	-482417.1082310437	-1086.1560717413424	-481330.9521593023	331.2404710964889	331.2404710964889	10993.366124514987	3150.1415483452433	0.0011029613112708285	0.0011029613112708276	-481330.9521593023	0.0	-1085.581417393883
160000	-482466.6657538474	-1111.8797674701013	-481354.7859863773	406.3605182145971	406.3605182145971	13447.057310231394	4715.497681157889	9.029696253520191E-4	9.029696253520194E-4	-481354.7859863773	0.0	-1109.916574342784
170000	-482438.90151022666	-1092.8829713790033	-481346.0185388477	349.01049300762963	349.01049300762963	11578.453233498429	3154.887816739843	0.0010456290916344673	0.0010456290916344678	-481346.0185388477	0.0	-1092.126638103295
180000	-482409.7744723666	-1065.8951682884738	-481343.8793040781	277.4985114473578	277.4985114473578	9269.56692612155	2587.1464999995605	0.0013022438747346903	0.00130224387473469	-481343.8793040781	0.0	-1065.504439512793
190000	-482405.3259983634	-1077.7612971176998	-481327.5647012457	310.75241605890045	310.75241605890045	10265.135206954314	3264.019758274496	0.0011784763732660788	0.0011784763732660796	-481327.5647012457	0.0	-1077.2630461751055
