state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
120000	-72689.92700659197	-1866.1552711492816	-70823.77173544269	10412.123920121716	28955.160885189543	4022.6778578277876	7.343096729428654E-4	7.343096729428656E-4	-70823.77173544269	0.0	-1844.76619012143	
130000	-72681.13808872875	-1865.9881260952934	-70815.14996263346	10442.8589225975	28899.47026864605	4230.158837880885	7.447100631338559E-4	7.447100631338548E-4	-70815.14996263346	0.0	-1844.281087070651	
140000	-72677.81164918817	-1865.7159679379415	-70812.09568125023	10406.888749894973	28866.21127855374	3649.3460041716826	7.353102750071933E-4	7.353102750071932E-4	-70812.09568125023	0.0	-1844.4585005053702	
150000	-72677.4171006412	-1865.9626738262955	-70811.45442681492	10450.002039988882	28937.879868438802	3858.330917332489	7.45416387884607E-4	7.454163878846059E-4	-70811.45442681492	0.0	-1844.2987861965773	
160000	-72687.77697925446	-1874.1530714731466	-70813.62390778131	10423.392499988387	29714.75027691982	3817.290281666036	7.026695725681739E-4	7.026695725681738E-4	-70813.62390778131	0.0	-1853.2337708772718	
170000	-72689.83820555682	-1873.6518397156476	-70816.18636584117	10419.917981933215	29582.536817368833	4332.223402130036	6.958364889833223E-4	6.958364889833222E-4	-70816.18636584117	0.0	-1852.903697715857	
180000	-72677.04166453023	-1878.4384205458496	-70798.60324398438	10447.878297106034	30053.298833368186	3783.915862539709	6.909638350657687E-4	6.909638350657685E-4	-70798.60324398438	0.0	-1857.6558736821628	
190000	-72696.97522908372	-1885.2291105252584	-70811.74611855847	10481.960262298533	30730.98838084385	3634.6235761199223	6.619265913866554E-4	6.619265913866565E-4	-70811.74611855847	0.0	-1864.9435177219211	
200000	-72704.12174024121	-1883.8196566835907	-70820.30208355762	10490.795553133792	30745.354423701923	4521.260489590725	6.72865987178524E-4	6.728659871785243E-4	-70820.30208355762	0.0	-1862.9619716628104	
210000	-72718.0565356856	-1885.0735953940991	-70832.98294029149	10448.526898456637	30692.98912708184	3767.482702509574	6.709711063726413E-4	6.709711063726415E-4	-70832.98294029149	0.0	-1864.4922462508353	
220000	-72707.74572326282	-1885.2538840264174	-70822.4918392364	10462.580085246207	30943.24910346362	4333.29000466363	6.65039943524056E-4	6.650399435240558E-4	-70822.4918392364	0.0	-1864.5567268911416	
230000	-72722.14568289193	-1885.9891995890573	-70836.15648330288	10451.483425223392	30770.871495026397	4650.907603545722	6.831467812398833E-4	6.831467812398836E-4	-70836.15648330288	0.0	-1864.7625574680917	
240000	-72705.54514804101	-1881.7684687367364	-70823.77667930427	10448.0570650625	30497.901982048854	4183.089601171631	6.814584303448018E-4	6.814584303448025E-4	-70823.77667930427	0.0	-1860.8825902281678	
250000	-72699.92829013026	-1883.671451365305	-70816.25683876497	10460.324614278292	30739.012386452512	4598.9163578825155	6.737026665333228E-4	6.737026665333228E-4	-70816.25683876497	0.0	-1862.7745606209742	
260000	-72689.03610848573	-1886.4822156761525	-70802.55389280958	10512.804763024282	31130.73865034896	4404.139719426	6.498208087387777E-4	6.498208087387778E-4	-70802.55389280958	0.0	-1866.1325311954329	
270000	-72691.6227266689	-1881.655978927621	-70809.96674774127	10461.23337144724	30513.17944666605	4331.470874479396	6.75715073953585E-4	6.757150739535846E-4	-70809.96674774127	0.0	-1860.9045627417922	
280000	-72703.80436950119	-1883.6792636169296	-70820.12510588426	10472.650128040465	30813.294934508427	4057.3241341340604	6.605575375550853E-4	6.605575375550861E-4	-70820.12510588426	0.0	-1863.2737294206838	
290000	-72687.46211058808	-1887.8950482340006	-70799.56706235408	10488.42826770744	31115.38395682787	4754.278416316765	6.56106964755725E-4	6.561069647557249E-4	-70799.56706235408	0.0	-1867.2781851366824	
300000	-72701.24909786707	-1886.5021719596846	-70814.74692590738	10508.860719635546	30957.42255052054	4991.4699002964	6.583241052379401E-4	6.583241052379396E-4	-70814.74692590738	0.0	-1865.8673944311809	
