state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
850000	-8237.13183314764	-2868.028119533351	-5369.103713614288	1084450.858773106	5761343.301849669	639401.0759698487	8.367409079489879E-8	8.367409079489886E-8	-5369.103713614288	0.0	-2869.5369010662243	
860000	-8222.106858581148	-2859.4849199363325	-5362.621938644816	1079374.658771449	5481178.701096691	696962.4363753697	9.2211496705158E-8	9.2211496705158E-8	-5362.621938644816	0.0	-2860.8106463808235	
870000	-8209.091389335752	-2835.653082639154	-5373.4383066965975	1076337.9077743446	5056548.238996441	591502.3703207312	9.215650835957995E-8	9.215650835957996E-8	-5373.4383066965975	0.0	-2837.142288981343	
880000	-8216.678118139513	-2851.0034597027106	-5365.674658436801	1079402.9028557362	5140132.554382155	602874.9467537312	1.0198179088115198E-7	1.0198179088115195E-7	-5365.674658436801	0.0	-2852.372960260614	
890000	-8244.444731806894	-2873.1445956952516	-5371.300136111643	1079763.48406519	5651367.1773739355	662225.0632631369	7.931776096202119E-8	7.931776096202124E-8	-5371.300136111643	0.0	-2874.6692221164717	
900000	-8238.248707089697	-2857.131949024093	-5381.116758065603	1084808.4349489342	5285076.706117337	710576.8815263864	9.336954643814624E-8	9.336954643814623E-8	-5381.116758065603	0.0	-2858.4258355835636	
910000	-8197.976605181177	-2830.310345352727	-5367.666259828449	1070976.4224783257	4691280.908327844	667823.162074237	1.065413085623827E-7	1.0654130856238262E-7	-5367.666259828449	0.0	-2831.5343611485127	
920000	-8216.114131323855	-2834.9639677103805	-5381.1501636134735	1070966.1173016976	5042802.859876379	582656.92354361	9.391404386935186E-8	9.391404386935184E-8	-5381.1501636134735	0.0	-2836.449838187878	
930000	-8197.052057824749	-2810.6150539694036	-5386.437003855344	1072235.8841617615	4540938.354351889	538634.449234317	1.0533887050466217E-7	1.0533887050466206E-7	-5386.437003855344	0.0	-2812.0649230811787	
940000	-8192.651532567645	-2809.221483160841	-5383.430049406803	1107027.3629236366	4732030.833505375	496049.7912923039	9.511055204652008E-8	9.511055204652007E-8	-5383.430049406803	0.0	-2810.8536660348072	
950000	-8205.029296243956	-2836.3132850466422	-5368.7160111973135	1069156.036852261	4943267.800603288	597577.888602265	9.654080995309015E-8	9.654080995309015E-8	-5368.7160111973135	0.0	-2837.746471707407	
960000	-8215.328899453252	-2835.5824484084833	-5379.74645104477	1097165.0658075737	5110024.301087272	613313.7201230503	9.844566664238662E-8	9.844566664238657E-8	-5379.74645104477	0.0	-2836.970629737552	
970000	-8194.731324819106	-2828.257606713932	-5366.473718105173	1056574.714765448	4706574.75246632	542464.0135750469	1.0550936550091749E-7	1.0550936550091748E-7	-5366.473718105173	0.0	-2829.699245571484	
980000	-8212.247820554596	-2843.391650753147	-5368.856169801449	1083583.592860396	4949419.352283645	625490.9075005584	1.017366386683155E-7	1.0173663866831558E-7	-5368.856169801449	0.0	-2844.7272860303788	
990000	-8215.08547243915	-2830.7430247534185	-5384.342447685731	1073973.7775772365	5040885.766639133	532258.7926338452	9.29239843173397E-8	9.292398431733974E-8	-5384.342447685731	0.0	-2832.329643729672	
1000000	-8190.4557422036605	-2835.9316759996373	-5354.524066204023	1056525.871010972	4757712.090904297	535282.918341336	9.74666338355789E-8	9.746663383557898E-8	-5354.524066204023	0.0	-2837.464558765066	
1010000	-8220.553235904184	-2859.2582411362296	-5361.294994767954	1084592.6334432156	5224998.640753457	626232.9552782143	9.053756965916664E-8	9.053756965916683E-8	-5361.294994767954	0.0	-2860.70857281787	
